Y,X,fid,vertex_index,,,,,,Checked in QGIS for order,,,,
-36.11164109,149.5838925,3,94,,"lat_fire_start(3,94)=-36.1116410918497,lon_fire_start(3,94)=149.583892451488,",11,"lat_fire_start(3,11)=-36.1116410918497,lon_fire_start(3,11)=149.583892451488,",,,,,,
-36.10979743,149.5854525,3,95,,"lat_fire_start(3,95)=-36.1097974297886,lon_fire_start(3,95)=149.58545247306,",10,"lat_fire_start(3,10)=-36.1097974297886,lon_fire_start(3,10)=149.58545247306,",,,,,,
-36.10355734,149.5864452,3,96,,"lat_fire_start(3,96)=-36.103557341261,lon_fire_start(3,96)=149.586445214773,",9,"lat_fire_start(3,9)=-36.103557341261,lon_fire_start(3,9)=149.586445214773,",,,,,,
-36.10128822,149.599209,3,97,,"lat_fire_start(3,97)=-36.1012882173451,lon_fire_start(3,97)=149.599209034559,",8,"lat_fire_start(3,8)=-36.1012882173451,lon_fire_start(3,8)=149.599209034559,",,,,,,
-36.09930274,149.6038891,3,98,,"lat_fire_start(3,98)=-36.0993027350393,lon_fire_start(3,98)=149.603889099273,",7,"lat_fire_start(3,7)=-36.0993027350393,lon_fire_start(3,7)=149.603889099273,",,,,,,
-36.10412462,149.6206239,3,99,,"lat_fire_start(3,99)=-36.10412462224,lon_fire_start(3,99)=149.620623883671,",6,"lat_fire_start(3,6)=-36.10412462224,lon_fire_start(3,6)=149.620623883671,",,,,,,
-36.11036471,149.6281404,3,100,,"lat_fire_start(3,100)=-36.1103647107675,lon_fire_start(3,100)=149.628140355522,",5,"lat_fire_start(3,5)=-36.1103647107675,lon_fire_start(3,5)=149.628140355522,",,,,,,
-36.1137684,149.6346641,3,101,,"lat_fire_start(3,101)=-36.1137683955208,lon_fire_start(3,101)=149.634664084538,",4,"lat_fire_start(3,4)=-36.1137683955208,lon_fire_start(3,4)=149.634664084538,",,,,,,
-36.12185215,149.6424642,3,102,,"lat_fire_start(3,102)=-36.1218521472299,lon_fire_start(3,102)=149.642464195758,",3,"lat_fire_start(3,3)=-36.1218521472299,lon_fire_start(3,3)=149.642464195758,",,,,,,
-36.130645,149.6467188,3,103,,"lat_fire_start(3,103)=-36.1306450001628,lon_fire_start(3,103)=149.6467188031,",2,"lat_fire_start(3,2)=-36.1306450001628,lon_fire_start(3,2)=149.6467188031,",,,,,,
-36.13745237,149.6492716,3,104,,"lat_fire_start(3,104)=-36.1374523696693,lon_fire_start(3,104)=149.649271566385,",1,"lat_fire_start(3,1)=-36.1374523696693,lon_fire_start(3,1)=149.649271566385,",,,,,,
